Age Range,Gender at Birth,No,Yes,Odds
60,Female,0.6097560975609756,0.3902439024390244,2
60,Male,0.5757575757575758,0.42424242424242425,2
18 - 29,Female,0.7222222222222222,0.2777777777777778,2
18 - 29,Male,0.65,0.35,2
30 - 44,Female,0.7333333333333333,0.26666666666666666,2
30 - 44,Male,0.676056338028169,0.323943661971831,2
45 - 59,Female,0.6527777777777778,0.3472222222222222,2
45 - 59,Male,0.7164179104477612,0.2835820895522388,2
60,Female,0.5121951219512195,0.4878048780487805,3
60,Male,0.6595744680851063,0.3404255319148936,3
18 - 29,Female,0.6170212765957447,0.3829787234042553,3
18 - 29,Male,0.7777777777777778,0.2222222222222222,3
30 - 44,Female,0.6346153846153846,0.36538461538461536,3
30 - 44,Male,0.5277777777777778,0.4722222222222222,3
45 - 59,Female,0.589041095890411,0.410958904109589,3
45 - 59,Male,0.6,0.4,3
60,Female,0.6,0.4,4
60,Male,0.6923076923076923,0.3076923076923077,4
18 - 29,Female,0.4878048780487805,0.5121951219512195,4
18 - 29,Male,0.5142857142857142,0.4857142857142857,4
30 - 44,Female,0.5714285714285714,0.42857142857142855,4
30 - 44,Male,0.4444444444444444,0.5555555555555556,4
45 - 59,Female,0.5294117647058824,0.47058823529411764,4
45 - 59,Male,0.6222222222222222,0.37777777777777777,4
60,Female,0.5,0.5,5
60,Male,0.5041322314049587,0.49586776859504134,5
18 - 29,Female,0.4406779661016949,0.559322033898305,5
18 - 29,Male,0.44,0.56,5
30 - 44,Female,0.4796747967479675,0.5203252032520326,5
30 - 44,Male,0.49673202614379086,0.5032679738562091,5
45 - 59,Female,0.5337078651685393,0.46629213483146065,5
45 - 59,Male,0.5153846153846153,0.4846153846153846,5
60,Female,0.5384615384615384,0.46153846153846156,10
60,Male,0.48,0.52,10
18 - 29,Female,0.3902439024390244,0.6097560975609756,10
18 - 29,Male,0.3939393939393939,0.6060606060606061,10
30 - 44,Female,0.5454545454545454,0.45454545454545453,10
30 - 44,Male,0.423728813559322,0.576271186440678,10
45 - 59,Female,0.4189189189189189,0.581081081081081,10
45 - 59,Male,0.6,0.4,10
